,stop_id,level6,level5,level4,level3,level2,level1,levelNights,stop_lat,stop_lon
3060,COMM_2748,1,1,1,1,1,,,47.782854,-122.344036
3061,COMM_2742,1,1,1,1,1,,,47.774297,-122.341069
3062,COMM_2747,1,1,1,1,1,,,47.783555,-122.34309
3063,COMM_2753,1,1,1,1,1,,,47.803553,-122.328686
3064,COMM_2761,1,1,1,1,1,,,47.81788,-122.31771
3065,COMM_3247,1,1,1,1,1,,,47.821764,-122.314437
3066,COMM_2767,1,1,1,1,1,,,47.839547,-122.29898
3067,COMM_2777,1,1,1,1,1,,,47.863931,-122.281933
3068,COMM_2779,1,1,1,1,1,,,47.873354,-122.273153
3069,COMM_2781,1,1,1,1,1,,,47.889588,-122.258009
3070,COMM_2783,1,1,1,1,1,,,47.896845,-122.251245
3071,COMM_2787,1,1,1,1,1,,,47.909646,-122.239297
3072,COMM_2795,1,1,1,1,1,,,47.921193,-122.228516
3073,COMM_2807,1,1,1,1,1,,,47.936568,-122.218722
3074,COMM_2815,1,1,1,1,1,,,47.952124,-122.213395
3075,COMM_2819,1,1,1,1,1,,,47.964898,-122.210699
3076,COMM_2835,1,1,1,1,1,,,47.976439,-122.208047
3077,COMM_3035,1,1,1,1,1,,,47.793893,-122.210858
3078,COMM_3033,1,1,1,1,1,,,47.798869,-122.211572
3079,COMM_3032,1,1,1,1,1,,,47.810159,-122.207444
3080,COMM_3031,1,1,1,1,1,,,47.820544,-122.207281
3081,COMM_3030,1,1,1,1,1,,,47.834958,-122.210752
3082,COMM_3029,1,1,1,1,1,,,47.85005,-122.217486
3083,COMM_3028,1,1,1,1,1,,,47.859559,-122.218828
3084,COMM_3027,1,1,1,1,1,,,47.871586,-122.21708
3085,COMM_3026,1,1,1,1,1,,,47.878272,-122.211597
3086,COMM_3025,1,1,1,1,1,,,47.880235,-122.219304
3087,COMM_3024,1,1,1,1,1,,,47.882114,-122.228483
3088,COMM_3023,1,1,1,1,1,,,47.882028,-122.239319
3089,COMM_3022,1,1,1,1,1,,,47.881994,-122.249928
3090,COMM_3021,1,1,1,1,1,,,47.890104,-122.258689
3091,COMM_3020,1,1,1,1,1,,,47.896822,-122.263542
3092,COMM_3019,1,1,1,1,1,,,47.907863,-122.271092
3093,COMM_3018,1,1,1,1,1,,,47.918657,-122.27146
3094,COMM_3017,1,1,1,1,1,,,47.929989,-122.260421
3095,COMM_3037,1,1,1,1,1,,,47.917928,-122.271872
3096,COMM_3038,1,1,1,1,1,,,47.907224,-122.271264
